step,hour,total_load,total_solar,net_demand,grid_power,grid_import,grid_export,voltage_violations,min_voltage,max_voltage,reward,voltage_node_0,voltage_node_1,voltage_node_2,voltage_node_3,voltage_node_4,voltage_node_5,voltage_node_6,voltage_node_7,voltage_node_8,voltage_node_9,voltage_node_10
72,18.0,13.628294138876369,0.0,13.628294138876369,13.628294138876369,13.628294138876369,0.0,0,0.99375564,0.99882966,-182.61914146094335,0.99882966,0.9977583,0.9967481,0.9959357,0.9952084,0.9947193,0.994401,0.99412715,0.99392265,0.9937879,0.99375564
73,18.25,14.463843409120475,0.2821969940936232,14.181646415026853,14.181646415026853,14.181646415026853,0.0,0,0.9935565,0.9987829,-190.0340619613598,0.9987829,0.9976386,0.9965618,0.9957261,0.9949685,0.9944697,0.9941342,0.99387544,0.9937055,0.9935888,0.9935565
74,18.5,14.040930861289977,1.213115080313017,12.82781578097696,12.82781578097696,12.82781578097696,0.0,0,0.9939064,0.9988934,-171.89273146509126,0.9988934,0.9978435,0.9968347,0.99604917,0.9953292,0.9948419,0.9945355,0.9942691,0.9940699,0.9939387,0.9939064
75,18.75,15.87368852960006,0.0,15.87368852960006,15.87368852960006,15.87368852960006,0.0,0,0.99263954,0.9986423,-212.7074262966408,0.9986423,0.9973647,0.9961742,0.9952234,0.9943508,0.99377185,0.9934069,0.99307024,0.9928192,0.9926719,0.99263954
76,19.0,17.0696654707067,0.2843623285282755,16.785303142178424,16.785303142178424,16.785303142178424,0.0,0,0.99171627,0.998565,-224.92306210519087,0.998565,0.9971995,0.99591535,0.9948988,0.9939066,0.9932059,0.99273247,0.9923003,0.9919638,0.99174863,0.99171627
77,19.25,18.966541446448833,0.0,18.966541446448833,18.966541446448833,18.966541446448833,0.0,0,0.990792,0.9983833,-254.15165538241436,0.9983833,0.9968407,0.99535793,0.9941949,0.993087,0.99233544,0.99181175,0.9913557,0.99102736,0.9908244,0.990792
78,19.5,20.818557573397854,1.5809741984434267,19.237583374954426,19.237583374954426,19.237583374954426,0.0,0,0.990572,0.998357,-257.78361722438933,0.998357,0.9968012,0.9952935,0.9940803,0.99297285,0.99217105,0.99164,0.9911736,0.9908335,0.9906044,0.990572
79,19.75,22.378507955491294,2.4160171646399364,19.96249079085136,19.96249079085136,19.96249079085136,0.0,0,0.99025965,0.99829453,-267.49737659740816,0.99829453,0.9966743,0.99513173,0.9938903,0.99273336,0.99189323,0.9913612,0.99086964,0.99052,0.9902921,0.99025965
80,20.0,25.066506971182527,0.0,25.066506971182527,25.066506971182527,25.066506971182527,0.0,0,0.98779476,0.9978719,-335.8911934138458,0.9978719,0.99586993,0.99396676,0.9924333,0.99099445,0.9899441,0.98920417,0.98857087,0.98811257,0.98782724,0.98779476
81,20.25,27.632041853832597,0.9227790164093237,26.709262837423275,26.709262837423275,26.709262837423275,0.0,0,0.98724556,0.9977323,-357.9041220214719,0.9977323,0.99561507,0.99363756,0.99204093,0.9905721,0.9894941,0.98874396,0.9880772,0.98759073,0.98727804,0.98724556
